Date,Round,HomeTeam,AwayTeam,Possession_Home,Possession_Away,Home_duels_success_rate,Away_duels_success_rate,Home_aerials_success_rate,Away_aerials_success_rate,Home_interceptions,Away_interceptions,Home_offsides,Away_offsides,Home_corners,Away_corners,Home_passes,Away_passes,Home_long_passes,Away_long_passes,Home_passing_acc,Away_passing_acc,Home_passing_acc_opp_half,Away_passing_acc_opp_half,Home_crosses,Away_crosses,Home_crossing_acc,Away_crossing_acc,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeSOT,AwaySOT,Home_blocked_shots,Away_blocked_shots,Home_Shots_OB,Away_Shots_OB,Home_Shots_IB,Away_shots_IB,Home_shooting_acc,Away_shooting_acc,HomeTackles,AwayTackles,Home_Tackle_success_rate,Away_Tackle_success_rate,HomeClearances,AwayClearances,HomeFouls,AwayFouls,HomeYellows,AwayYellows,HomeReds,AwayReds,Referee,Time
04/10/2020,6,Strasbourg,Lille,0.46,0.54,0.54,0.46,0.64,0.36,17,7,0,2,11,1,421,530,88,47,0.8,0.83,0.66,0.75,32,5,0.38,0.2,0,3,15,12,3,6,5,3,2,6,13,6,0.2,0.5,16,23,0.69,0.7,8,17,11,10,1,1,0,0,Mikael Lesage, 15:00
18/10/2020,7,Angers,Fc Metz,0.46,0.54,0.46,0.54,0.57,0.43,12,17,2,1,2,5,421,493,54,66,0.78,0.81,0.66,0.6,17,17,0.06,0.12,1,1,7,7,2,3,3,1,2,4,5,3,0.29,0.43,22,29,0.59,0.55,15,15,18,13,4,2,0,0,Aurélien Petit, 15:00
16/10/2020,7,Dijon Fco,Rennes,0.39,0.61,0.43,0.57,0.39,0.61,15,14,2,1,3,5,361,561,69,57,0.78,0.83,0.64,0.73,10,20,0.4,0.1,1,1,12,12,4,3,3,3,5,6,7,6,0.33,0.25,17,21,0.59,0.71,29,9,22,13,4,2,0,0,Bastien Dechepy, 19:00
18/10/2020,7,Lille,Lens,0.57,0.43,0.47,0.53,0.45,0.55,11,10,1,1,7,2,515,393,40,61,0.84,0.74,0.73,0.58,13,9,0.31,0.44,4,0,16,7,6,2,6,2,4,3,12,4,0.38,0.29,11,23,0.46,0.61,9,7,13,16,0,1,0,2,François Letexier, 21:00
17/10/2020,7,Marseille,Bordeaux,0.56,0.44,0.53,0.47,0.53,0.47,11,18,2,1,6,10,519,403,70,54,0.83,0.78,0.79,0.61,12,16,0.17,0.19,3,1,6,8,4,4,0,3,1,3,5,5,0.67,0.5,16,13,0.75,0.38,12,11,13,13,3,1,0,0,Frank Schneider, 21:00
18/10/2020,7,Monaco,Montpellier,0.8,0.2,0.57,0.43,0.52,0.48,7,21,2,3,10,2,678,165,56,71,0.87,0.53,0.8,0.43,44,8,0.23,0.25,1,1,21,3,7,2,7,0,10,1,11,2,0.33,0.67,13,8,0.46,0.62,4,42,13,13,2,1,0,1,Hakim Ben El Hadj, 15:00
18/10/2020,7,Nantes,Brest,0.4,0.6,0.51,0.49,0.47,0.53,12,15,6,3,2,6,347,520,62,74,0.7,0.81,0.65,0.69,10,20,0.2,0.4,3,1,12,14,8,5,2,1,2,7,10,7,0.67,0.36,20,17,0.6,0.53,11,5,15,15,3,2,0,0,Jérémie Pignard, 15:00
16/10/2020,7,Nîmes,Psg,0.24,0.76,0.43,0.57,0.36,0.64,13,9,1,0,1,9,224,706,58,31,0.64,0.89,0.47,0.87,7,25,0.14,0.52,0,4,5,30,2,11,0,7,4,7,1,23,0.4,0.37,12,11,0.67,0.82,21,8,10,12,1,2,1,0,Clément Turpin, 21:00
17/10/2020,7,Reims,Lorient,0.47,0.53,0.47,0.53,0.54,0.46,11,20,2,2,3,6,345,388,58,72,0.75,0.77,0.61,0.57,14,22,0.36,0.09,1,3,6,14,3,4,2,5,3,5,3,9,0.5,0.29,13,21,0.46,0.62,22,13,14,11,4,1,2,0,Mikael Lesage, 17:00
18/10/2020,7,Asse,Nice,0.46,0.54,0.46,0.54,0.67,0.33,12,10,2,1,7,3,428,525,53,62,0.84,0.81,0.69,0.63,27,10,0.15,0.2,1,3,11,10,4,5,5,1,4,3,7,7,0.36,0.5,18,27,0.56,0.7,8,23,15,10,2,5,0,0,Amaury Delerue, 17:00
